DateTime,Uptime(ms),FaultDetect(us),RelayTrip(us),TotalResponse(ms)
2026-01-06 20:33:06,timestamp,faultDetectUs,relayTripUs,totalResponseMs
2026-01-06 20:35:17,132743,48,11028,11
2026-01-06 20:35:41,157439,48,11112,11
2026-01-06 20:36:26,202387,49,1391,1
2026-01-06 21:35:30,1695129,0,11107,11
2026-01-06 22:08:43,3688019,49,11079,11
2026-02-03 14:42:01,23646,0,11143,11
2026-02-03 15:02:03,22554,0,11143,11
2026-02-05 09:40:55,22613,0,11384,11
